id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price,adjusted_price
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,18.61,7710369928.0,21,8392764547,422366061,18.76,16.97,0.8164889999999999,4.58954,351893640.0,4.78215,414325786.231986,450995062.7975677,720000000.0,144.96,-87.14561,2021-11-21T14:18:56.538Z,2.8,565.24287,2020-12-31T13:15:21.540Z,,2025-03-12T21:20:22.190Z,18.61,22.331999999999997
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,1.236e-05,7278328885.0,22,7281459483,244627105,1.2560000000000002e-05,1.178e-05,1.72878e-07,1.41842,98500569.0,1.37191,589253494766181.5,589506948025511.1,,8.616e-05,-85.68816,2021-10-28T03:54:55.568Z,5.636599999999999e-11,21876243.442,2020-11-28T11:26:25.838Z,,2025-03-12T21:20:26.486Z,1.236e-05,1.4832e-05
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,2.25,7130739502.0,23,22495545980,883570462,2.36,2.18,-0.032871760457355,-1.43767,-110361153.140234,-1.5240900000000002,3169845047.483887,10000000000.0,10000000000.0,5.35,-58.18463,2025-01-04T22:56:18.063Z,0.364846,512.77496,2023-10-19T10:40:30.078Z,,2025-03-12T21:20:24.631Z,2.25,2.6999999999999997
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,357.62,7093624885.0,24,7093624885,298012676,357.66,331.84,13.13,3.80998,263516769.0,3.85816,19841340.52165078,19841340.52165078,21000000.0,3785.82,-90.57687,2017-12-20T00:00:00.000Z,76.93,363.69481,2018-12-16T00:00:00.000Z,,2025-03-12T21:20:24.742Z,357.62,429.144
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,91.57,6924227422.0,25,6924355033,573190248,92.3,87.72,-0.596787273220968,-0.64748,-34081652.71093655,-0.4898,75625345.73347135,75626739.48347135,84000000.0,410.26,-77.66408,2021-05-10T03:13:07.904Z,1.15,7876.31533,2015-01-14T00:00:00.000Z,,2025-03-12T21:20:19.314Z,91.57,109.88399999999999
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,2.73,6770196418.0,26,13983262957,122937560,2.74,2.59,0.04465442,1.66316,122088562.0,1.83644,2481078554.67549,5124456028.751981,,8.25,-66.98332,2024-06-15T00:36:51.509Z,0.5193639999999999,424.69333,2021-09-21T00:33:11.092Z,,2025-03-12T21:20:16.143Z,2.73,3.276
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,3.99,6067632347.0,27,6067632347,213534155,4.1,3.87,-0.109767891251209,-2.6798,-161926280.4400444,-2.59932,1522267060.0,1522267060.0,,54.98,-92.77861,2021-11-04T14:10:09.301Z,2.7,47.19008,2020-08-20T05:48:11.359Z,,2025-03-12T21:20:21.906Z,3.99,4.788
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,0.998906,5452008547.0,28,5452008547,69868498,1.001,0.9985,0.00013858,0.01387,4040902.0,0.07417,5454904803.919753,5454904803.919753,,1.032,-3.1281,2023-12-20T15:38:34.596Z,0.9294859999999999,7.56456,2024-10-04T07:57:15.809Z,,2025-03-12T21:20:26.782Z,0.998906,1.1986872
weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,1900.76,5352497102.0,29,5352497102,325800104,1949.32,1840.05,-43.69166295658238,-2.247,-82235765.17236519,-1.51315,2814699.416946814,2814699.416946814,,4799.89,-60.40846,2021-11-09T00:00:00.000Z,82.1,2214.58317,2018-12-15T00:00:00.000Z,,2025-03-12T21:20:17.358Z,1900.76,2280.912
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),https://coin-images.coingecko.com/coins/images/35021/large/USDT.png?1707233575,0.999199,5188401473.0,30,5188401473,337797754,1.004,0.986014,-0.0013556651583430002,-0.13549,8514970.0,0.16439,5184994501.618546,5184994501.618546,,1.05,-4.81609,2024-08-05T14:21:42.527Z,0.942186,6.07184,2024-12-05T22:30:39.827Z,,2025-03-12T21:20:23.560Z,0.999199,1.1990387999999998
